Tweets	Followers	Friends	Happy	Sad
17299	1107	407	0.970588	0.029412
1748	206	92	0.480856	0.519144
153	556	6	0.480856	0.519144
1483	178	66	0.480856	0.519144
520	83	96	0.480856	0.519144
1049	68	89	0.480856	0.519144
97	15	22	0.480856	0.519144
249	325	303	0.970588	0.029412
24	3	2	0.480856	0.519144
968	230	299	0.480856	0.519144
26	10	9	0.029411	0.970589
47	2	1	0.480856	0.519144
3368	233	104	0.480856	0.519144
83	16	27	0.480856	0.519144
176	11	47	0.970588	0.029412
208	128	281	0.480856	0.519144
347	48	71	0.480856	0.519144
738	89	59	0.480856	0.519144
2924	588	630	0.480856	0.519144
2752	83	72	0.480856	0.519144
2595	93	208	0.480856	0.519144
427	149	723	0.480856	0.519144
587	63	56	0.480856	0.519144
106	1002	101	0.480856	0.519144
6338	234	215	0.480856	0.519144
1427	19	26	0.970588	0.029412
4526	200	75	0.480856	0.519144
4741	5584	6002	0.480856	0.519144
214710	31702	0	0.480856	0.519144
289	21	18	0.480856	0.519144
17	12	17	0.029411	0.970589
6329	780	473	0.480856	0.519144
54	19	155	0.970588	0.029412
25727	2894	2469	0.480856	0.519144
606	24	19	0.480856	0.519144
1048	98	99	0.480856	0.519144
1	0	20	0.480856	0.519144
1567	94	63	0.480856	0.519144
39	7	6	0.480856	0.519144
419	388	22	0.480856	0.519144
962	73	70	0.480856	0.519144
670	66	141	0.999150	0.000850
2807	93	138	0.480856	0.519144
30	21	15	0.480856	0.519144
97	16	23	0.480856	0.519144
234	12	42	0.480856	0.519144
12	7	8	0.480927	0.519073
1130	667	52	0.999150	0.000850
235	129	163	0.480856	0.519144
1032	63	80	0.480856	0.519144
59	7	4	0.480856	0.519144
359	56	53	0.480856	0.519144
1759	64	38	0.480856	0.519144
186	68	71	0.480856	0.519144
8076	1435	29	0.480856	0.519144
733	238	95	0.480856	0.519144
2621	210	227	0.480856	0.519144
1458	291	216	0.480856	0.519144
80	60	40	0.480856	0.519144
1859	84	18	0.029411	0.970589
4464	226	227	0.480856	0.519144
1620	57	99	0.480856	0.519144
232	109	118	0.480856	0.519144
258	40	41	0.480856	0.519144
450	155	116	0.480856	0.519144
79	35	50	0.480856	0.519144
63	11	26	0.480856	0.519144
15	9	35	0.480856	0.519144
179	51	120	0.999150	0.000850
796	85	42	0.970588	0.029412
105	53	91	0.480856	0.519144
190	38	36	0.480856	0.519144
7	2	7	0.480856	0.519144
199	66	28	0.970596	0.029404
370	10	86	0.480856	0.519144
7479	1180	2002	0.480856	0.519144
898	218	366	0.480856	0.519144
238	59	60	0.480856	0.519144
62	22	53	0.480927	0.519073
94	86	79	0.480856	0.519144
2213	599	473	0.480856	0.519144
497	34	35	0.480856	0.519144
2891	3126	2504	0.480856	0.519144
366	41	43	0.970588	0.029412
793	160	171	0.480856	0.519144
447	57	34	0.480856	0.519144
20	42	53	0.480856	0.519144
257	27	80	0.480927	0.519073
553	113	161	0.480856	0.519144
8520	3477	3750	0.970588	0.029412
970	401	728	0.480856	0.519144
246	75	110	0.480856	0.519144
135	107	233	0.480856	0.519144
225	49	55	0.480856	0.519144
6600	658	437	0.480856	0.519144
2828	343	938	0.480856	0.519144
4443	275	208	0.480927	0.519073
617	16	25	0.480856	0.519144
502	56	28	0.029411	0.970589
5768	205	179	0.480856	0.519144
1071	111	324	0.480856	0.519144
79	25	93	0.480856	0.519144
1061	80	53	0.480856	0.519144
14	12	143	0.480856	0.519144
8810	228	92	0.480856	0.519144
4492	266	95	0.480856	0.519144
39425	8858	8659	0.970588	0.029412
94	15	27	0.480856	0.519144
2412	218	161	0.480856	0.519144
707	67	67	0.480856	0.519144
2430	422	191	0.480856	0.519144
7	6	2	0.970588	0.029412
404	25	11	0.970588	0.029412
88	9	2	0.480856	0.519144
169	85	55	0.480856	0.519144
1746	740	422	0.480856	0.519144
567	42	32	0.480856	0.519144
49	74	307	0.480856	0.519144
1458	82	147	0.480856	0.519144
225	39	98	0.480927	0.519073
26	7	0	0.480856	0.519144
13	12	50	0.480856	0.519144
224	57	82	0.480927	0.519073
145	56	143	0.480856	0.519144
3057	242	161	0.480856	0.519144
73	8	6	0.970588	0.029412
123	13	16	0.480856	0.519144
16682	210	0	0.480856	0.519144
86	6	2	0.970588	0.029412
4547	83	75	0.480856	0.519144
2053	86	59	0.480856	0.519144
2238	79	87	0.999150	0.000850
322	32	7	0.480856	0.519144
21	8	14	0.029411	0.970589
439	67	245	0.480856	0.519144
4025	406	226	0.970588	0.029412
4406	338	304	0.970588	0.029412
377	12	5	0.999150	0.000850
94	19	26	0.480856	0.519144
830	33	19	0.480856	0.519144
266	84	101	0.480927	0.519073
49	28	181	0.480856	0.519144
576	74	67	0.480856	0.519144
545	61	50	0.519134	0.480866
1066	103	154	0.480856	0.519144
599	158	55	0.480856	0.519144
215	6	5	0.480856	0.519144
42	22	97	0.480856	0.519144
2891	143	132	0.480856	0.519144
1120	145	78	0.480856	0.519144
1213	147	210	0.480856	0.519144
3279	146	63	0.970588	0.029412
19	12	16	0.480856	0.519144
23	2	0	0.970588	0.029412
194	18	50	0.970588	0.029412
105	12	14	0.480856	0.519144
175	192	119	0.480856	0.519144
23	9	11	0.480856	0.519144
621	69	64	0.015151	0.984849
241	23	34	0.480856	0.519144
